orthogroup,species,locus_tag,gene_position,base_length,gene,product,bp_length
OG0000388,Bartonella_bovis_91-4,BBBE_RS02095,NA,NA,ccmE,cytochrome c maturation protein CcmE,486
OG0000388,Bartonella_elizabethae_NCTC12898,EL285_RS01900,NA,NA,ccmE,cytochrome c maturation protein CcmE,480
OG0000388,Bartonella_gerbillinarum_FN71,IPKPMCFA_00609,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE1-2_A1,NGMDFPDP_00650,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE1-2_A2,DCJOKJGC_00536,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE1-2_B1,PEOOCOEB_00825,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE1-2_B2,MHFFGBDM_00693,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE1-2_B3,EPECHDMP_00643,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE1-2_C,EMBLIICP_00727,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_A,OIDCCKFD_00714,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_B1,CAHOLCOL_00105,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_B2,GCDFGLPA_00438,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_B3,IHHODCJK_00889,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_B4,MJAEBMJE_00346,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_B5,JPLDOKKC_00094,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_gerbillinarum_OE3-1_C,NMIIJIPG_00343,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_grahamii_as4aup,BGR_RS02460,56,A9,ccmE,cytochrome c maturation protein CcmE,480
OG0000388,Bartonella_henselae_BM1374163,PRJBM_RS02310,NA,NA,ccmE,cytochrome c maturation protein CcmE,480
OG0000388,Bartonella_khokhlovae_OE5-1_A,BMMGAKCC_00479,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_khokhlovae_OE5-1_B,FGBOIPEM_00372,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_khokhlovae_OE5-1_C,OGFLLMDA_00125,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_FN12-1,EMOIKDEC_00165,56,A9,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_A1,JEMLOCML_00157,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_A2,CNPEIIHJ_00520,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_A3,FNJMBGLL_00608,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_A4,KJGNIHHA_00617,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_A5,ELDOKPEM_00273,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_B,BOFBMHLF_00464,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_C1,LKICNHNN_00167,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_C2,NGJGDJAJ_00418,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_C3,MOMDPIKI_00416,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_D1,CHDJJCHF_00260,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_D2,GCOMBPFH_00536,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_D3,JGDFGBJJ_00535,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_D4,GFDDFGGD_00167,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_D5,BINCMBPP_00090,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_G,DJDNEOMB_00166,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OE1-1_H,GMAGJBIB_00265,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_krasnovii_OY11,PDPJCBEH_01128,56,A9,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_negeviensis_ga95fn6_A,KLALJOCO_00132,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
OG0000388,Bartonella_negeviensis_ga95fn6_B,IPPNIHCA_00131,NA,NA,ccmE,Cytochrome c-type biogenesis protein CcmE,480
